Driver,Race,LapNumber,umap_x,umap_y
ALO,2024_Silverstone,42.0,-2.6412823,9.827984
ALO,2024_Silverstone,43.0,-2.4595284,10.140761
ALO,2024_Silverstone,44.0,-4.1314306,10.261328
ALO,2024_Silverstone,45.0,-4.2003703,10.4380245
ALO,2024_Silverstone,46.0,-4.2584677,10.155696
ALO,2024_Silverstone,47.0,-4.0502973,10.400173
ALO,2024_Silverstone,48.0,-3.9744394,10.637967
ALO,2024_Silverstone,49.0,-3.3980324,12.136416
ALO,2024_Silverstone,50.0,-3.3621151,12.134017
ALO,2024_Silverstone,51.0,-3.3755264,12.169647
